WDPAID,median,upper,lower
28559,0.421,0.779,0.241
36201,0.403,0.549,0.259
29409,0.645,0.912,0.305
29069,0.644,0.912,0.304
29549,0.403,0.681,0.178
2322,0.511,0.946,0.171
29605,0.367,0.594,0.144
317194,0.514,0.888,0.2
36224,0.39,0.813,0.202
36869,0.501,0.873,0.357
33510,0.281,0.436,0.201
36436,0.336,0.489,0.176
36498,0.328,0.535,0.171
36704,0.401,0.811,0.197
36347,0.383,0.713,0.104
5164,0.306,0.716,0.137
36899,0.232,0.35,0.127
36647,0.367,0.624,0.223
36321,0.37,0.52,0.258
36711,0.516,0.884,0.284
29435,0.311,0.539,0.186
40700,0.536,0.724,0.361
36342,0.365,0.612,0.103
300807,0.399,0.584,0.177
29425,0.353,0.737,0.154
36427,0.309,0.524,0.134
29453,0.373,0.531,0.178
28568,0.437,0.844,0.223
725,0.494,0.705,0.21
40862,0.538,0.806,0.42
29615,0.494,0.88,0.348
300794,0.459,0.778,0.228
29417,0.326,0.505,0.177
29380,0.752,0.887,0.528
555556061,0.351,0.899,0.091
28569,0.397,0.732,0.12
36730,0.506,0.886,0.243
29367,0.333,0.706,0.17
555556058,0.341,0.647,0.123
145529,0.568,0.882,0.325
2328,0.522,0.959,0.195
37132,0.521,0.827,0.306
28551,0.413,0.758,0.125
36475,0.355,0.681,0.129
36288,0.399,0.529,0.234
36265,0.416,0.673,0.261
352617,0.612,0.992,0.205
37133,0.438,0.778,0.231
29446,0.465,0.724,0.301
28534,0.316,0.598,0.128
37134,0.383,0.647,0.195
36458,0.376,0.639,0.165
37136,0.457,0.807,0.276
868,NA,NA,NA
903105,0.362,0.575,0.23
7872,0.362,0.569,0.225
36170,0.345,0.646,0.144
36418,0.473,0.808,0.228
300905,0.546,0.848,0.379
300892,0.621,0.797,0.395
36202,0.416,0.673,0.261
31330,0.568,0.882,0.325
300776,0.329,0.574,0.109
29375,0.281,0.436,0.201
40795,0.55,0.794,0.384
37137,0.456,0.741,0.241
36604,0.522,0.858,0.254
29500,0.579,0.783,0.392
36336,0.371,0.667,0.095
32995,0.392,0.579,0.182
29373,0.344,0.622,0.237
352627,0.654,0.975,0.215
40796,0.541,0.766,0.385
40848,0.538,0.76,0.377
40849,0.522,0.722,0.358
300836,0.478,0.828,0.305
36440,0.34,0.524,0.181
300813,0.506,0.901,0.365
28560,0.437,0.84,0.216
29514,0.603,0.806,0.437
303952,0.582,0.812,0.463
40752,0.532,0.799,0.398
40811,0.6,0.825,0.451
303960,0.583,0.813,0.463
40812,0.586,0.811,0.464
672,0.607,0.826,0.454
5150,0.607,0.826,0.454
36233,0.416,0.67,0.18
36598,0.469,0.891,0.248
36692,0.348,0.658,0.174
303948,0.497,0.909,0.3
40730,0.534,0.764,0.381
5168,0.464,0.916,0.227
29394,0.337,0.676,0.148
40798,0.544,0.768,0.386
40797,0.544,0.768,0.386
36374,0.301,0.597,0.157
36269,0.362,0.57,0.227
36468,0.306,0.488,0.154
36900,0.242,0.338,0.148
28536,0.39,0.724,0.126
300797,0.431,0.676,0.2
26462,0.485,0.84,0.329
40863,0.571,0.802,0.403
40814,0.528,0.774,0.37
29535,0.591,0.818,0.38
36496,0.328,0.535,0.171
342670,0.651,0.983,0.242
11609,0.651,0.983,0.242
40835,0.512,0.734,0.357
40834,0.536,0.699,0.322
29983,0.525,0.886,0.311
36361,0.264,0.381,0.144
300861,0.563,0.92,0.359
29585,NA,NA,NA
26441,0.507,0.82,0.294
5155,0.542,0.805,0.427
40864,0.542,0.805,0.427
555512167,0.527,0.729,0.316
300887,0.636,0.829,0.389
40753,0.57,0.805,0.453
40850,0.487,0.676,0.34
40827,0.522,0.722,0.358
40754,0.576,0.809,0.453
4489,0.352,0.663,0.118
36621,0.48,0.832,0.235
303941,0.399,0.774,0.176
36573,0.39,0.707,0.198
29644,0.43,0.674,0.199
40755,0.493,0.815,0.346
40871,0.457,0.851,0.334
36606,0.522,0.858,0.254
40674,0.53,0.771,0.367
29339,0.312,0.631,0.2
300880,0.622,0.794,0.367
313432,0.397,0.732,0.12
597,0.414,0.712,0.131
28545,0.41,0.786,0.133
29419,0.312,0.54,0.182
352619,0.696,0.969,0.2
